Temperature,Weather,Weather_Code,UpperWear_Male,LowerWear_Male,Footwear_Male,UpperWear_Female,LowerWear_Female,Footwear_Female
-20,Clear,0,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-20,Clear,1,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-20,Clear,2,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-20,Clouds,3,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-20,Clouds,4,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-20,Clouds,5,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-20,Rainy,6,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-20,Rainy,7,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-20,Rainy,8,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-20,Drizzle,9,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-20,Drizzle,10,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-20,Drizzle,11,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-20,Thunderstorm,12,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-20,Thunderstorm,13,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-20,Thunderstorm,14,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-20,Snow,15,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-20,Snow,16,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-20,Snow,17,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-20,Foggy,18,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-20,Foggy,19,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-20,Foggy,20,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-20,Haze,21,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-20,Haze,22,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-20,Haze,23,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-20,Windy,24,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-20,Windy,25,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-20,Windy,26,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-20,Tornado,27,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-20,Tornado,28,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-20,Tornado,29,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-19,Clear,30,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-19,Clear,31,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-19,Clear,32,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-19,Clouds,33,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-19,Clouds,34,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-19,Clouds,35,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-19,Rainy,36,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-19,Rainy,37,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-19,Rainy,38,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-19,Drizzle,39,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-19,Drizzle,40,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-19,Drizzle,41,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-19,Thunderstorm,42,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-19,Thunderstorm,43,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-19,Thunderstorm,44,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-19,Snow,45,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
-19,Snow,46,"Parka, Sweater",Pants,Snow Boots,"Parka, Sweater",Pants,Snow Boots
-19,Snow,47,Sweater,Jeans,Boots,Sweater,Jeans,Boots
-19,Foggy,48,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-19,Foggy,49,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-19,Foggy,50,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-19,Haze,51,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-19,Haze,52,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-19,Haze,53,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-19,Windy,54,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-19,Windy,55,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-19,Windy,56,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-19,Tornado,57,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers,"Windbreaker, Long Sleeve Shirt",Jeans,Sneakers
-19,Tornado,58,"Jacket, Long Sleeve Shirt",Pants,Boots,"Jacket, Long Sleeve Shirt",Pants,Boots
-19,Tornado,59,Sweatshirt,Jeans,Boots,Sweatshirt,Jeans,Boots
-18,Clear,60,T-shirt,Shorts,Sandals,T-shirt,Skirt,Sandals
-18,Clear,61,T-shirt,Shorts,Sneakers,Blouse,Skirt,Flats
-18,Clear,62,Polo,Shorts,Loafers,Tank Top,Shorts,Sneakers
-18,Clouds,63,T-shirt,Jeans,Sneakers,Blouse,Jeans,Sneakers
-18,Clouds,64,Polo,Chinos,Loafers,Sweater,Jeans,Boots
-18,Clouds,65,Sweatshirt,Jeans,Boots,T-shirt,Trousers,Loafers
-18,Rainy,66,Long Sleeve Shirt,Pants,Boots,Long Sleeve Shirt,Pants,Boots
-18,Rainy,67,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots,"Raincoat, Long Sleeve Shirt",Pants,Rain Boots
-18,Rainy,68,Hoodie,Jeans,Sneakers,Hoodie,Jeans,Sneakers
-18,Drizzle,69,"Coat, Long Sleeve Shirt",Pants,Boots,"Coat, Long Sleeve Shirt",Pants,Boots
-18,Drizzle,70,"Trench Coat, Long Sleeve Shirt",Pants,Loafers,"Trench Coat, Long Sleeve Shirt",Pants,Heels
-18,Drizzle,71,"Jacket, Long Sleeve Shirt",Jeans,Sneakers,"Jacket, Long Sleeve Shirt",Jeans,Sneakers
-18,Thunderstorm,72,Long Sleeve Shirt,Jeans,Boots,Blouse,Jeans,Boots
-18,Thunderstorm,73,"Waterproof Jacket, Long Sleeve Shirt",Jeans,Boots,"Waterproof Jacket, Blouse",Jeans,Boots
-18,Thunderstorm,74,Sweatshirt,Pants,Rain Boots,Sweater,Pants,Rain Boots
-18,Snow,75,"Coat, Sweater",Pants,Boots,"Coat, Sweater",Pants,Boots
